Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDA03,OUT018,2165.3631715326555
FDZ36,OUT045,2867.9725430357903
NCU05,OUT013,1440.0405647732478
FDT39,OUT018,2484.3407244651426
FDK60,OUT017,1227.2850424792668
FDZ25,OUT017,2659.6972849868143
FDG12,OUT046,2209.6475114568275
DRB01,OUT019,2799.830367202292
NCC43,OUT027,3956.4322262915666
FDX13,OUT019,3964.5501768235154
FDM22,OUT049,899.405963592344
FDJ03,OUT027,897.3521915011697
FDU14,OUT018,4003.6738827249246
FDB33,OUT010,2626.4641365723473
FDP27,OUT046,2758.609702400012
FDO38,OUT010,901.3084883378979
FDE28,OUT027,3487.435435187097
FDO27,OUT035,915.6128998827189
DRL23,OUT027,2064.387250457694
FDS28,OUT046,822.5635023649593
FDX24,OUT013,1840.7154594694475
FDZ02,OUT035,1565.8157698793475
FDL46,OUT045,1764.3848600928795
FDS60,OUT027,3106.529343880149
NCO06,OUT017,144.8131127157285
FDO16,OUT035,1494.97995276023
FDC60,OUT049,1155.1511863525375
FDA48,OUT018,3051.552194913973
FDZ36,OUT027,3372.5490594717267
FDK27,OUT045,2081.509911160254
FDW23,OUT018,404.3692722201631
FDM14,OUT018,1784.8012995191675
FDM14,OUT013,2057.2195297441067
FDW60,OUT018,2873.3728233768707
FDE21,OUT013,2147.5870744797794
NCM42,OUT035,1818.173740034912
FDY59,OUT010,1537.3929537266013
DRI49,OUT049,697.2458120321062
FDT28,OUT019,2318.8678478856127
FDQ22,OUT018,590.9195361825768
FDR60,OUT049,862.5736759772444
FDC50,OUT019,856.4522441944282
FDV24,OUT013,2377.277141764891
DRF48,OUT010,3265.1026470864454
FDQ47,OUT046,136.96665160964767
DRN36,OUT049,1547.2821772112256
NCY06,OUT035,1916.5755077143585
FDE52,OUT035,1476.5823463622764
NCB54,OUT045,2005.4331108276783
NCF31,OUT035,2369.167639264888
FDJ08,OUT027,2925.699318119234
NCC07,OUT017,1667.022209887291
NCD19,OUT027,1240.9410143552232
FDL46,OUT049,2082.361967597728
FDM20,OUT045,3913.0447825998235
NCI06,OUT010,2747.084834576217
DRM11,OUT035,3986.481373885923
NCH07,OUT018,2182.058921944201
FDS23,OUT013,1864.2334508857857
FDO49,OUT018,759.9968664915141
FDS35,OUT049,802.8555127719919
DRK39,OUT045,1322.6752485678808
DRI39,OUT049,732.0116334888626
FDV04,OUT017,1971.330130550039
NCN14,OUT035,2597.951205635305
FDH08,OUT013,3993.9130716605723
FDS20,OUT046,2932.8660283646386
FDV40,OUT049,1352.8317114211386
FDZ48,OUT010,1403.5586663442664
FDS24,OUT027,1547.4427436530204
FDK44,OUT049,2414.726713333719
FDS48,OUT045,2563.6035802449805
FDK26,OUT010,2999.5790604520953
FDD23,OUT045,2970.4237224116514
NCH54,OUT017,2345.3441331806025
NCP14,OUT010,1134.8476993981167
FDM60,OUT010,543.552926684155
FDV24,OUT017,2092.0650785704493
FDH08,OUT018,3655.799651648078
FDS12,OUT027,1668.698937191988
FDR39,OUT027,2903.9425399655156
FDP12,OUT027,826.3519711804183
DRF60,OUT027,3919.1091507265373
FDC09,OUT035,1669.2763078744501
FDF50,OUT018,2743.9537847103275
FDG28,OUT035,3806.1721402842777
NCE19,OUT017,623.085554073823
NCM53,OUT010,1542.964885787922
NCN18,OUT049,2023.6111557722252
FDF32,OUT035,2980.870355092804
FDF11,OUT013,4107.975274376269
DRI59,OUT049,3619.3089330070798
NCG54,OUT035,2489.3964774470332
FDM44,OUT046,1740.2234144571703
FDT57,OUT018,3720.0830893694692
FDV24,OUT046,2230.333638637083
FDI50,OUT019,3774.5427474099088
FDS09,OUT035,654.1158264262849
NCC31,OUT027,2785.771951002236
FDQ07,OUT019,3188.2348552240655
FDC22,OUT017,2567.448655631855
FDZ56,OUT046,2804.0069501630132
FDZ40,OUT019,984.0570957438977
FDS46,OUT027,2096.476955747221
DRD24,OUT045,2277.2618881344206
FDV45,OUT017,2884.6315614361592
FDL26,OUT045,2297.839841905352
FDA56,OUT018,2033.5064726151068
FDN27,OUT046,1915.581792788249
FDM20,OUT049,3935.5388331590257
FDO16,OUT017,1425.3095458698954
FDL03,OUT035,3094.8321138774663
FDE58,OUT046,1854.1877014692727
FDI02,OUT027,1696.6054147842915
NCC55,OUT019,561.8737810992789
FDR03,OUT018,3288.82611723875
FDB14,OUT017,1093.4863688464793
FDR45,OUT013,4076.1763315803873
NCN07,OUT017,2001.6121851806056
FDM51,OUT019,1852.2447357823003
FDT52,OUT027,4072.1515316109544
FDL26,OUT046,2343.6743869029233
NCZ42,OUT046,3989.463876774458
DRI47,OUT019,2569.023842196202
FDW40,OUT013,2154.5935015671676
FDN34,OUT046,2922.3483539099907
FDS01,OUT035,2911.963336406283
NCG55,OUT045,1844.3915856005078
FDC11,OUT035,877.6809642536391
FDX35,OUT018,3348.1958129872255
NCB06,OUT046,2399.744652624573
FDR09,OUT019,3903.1667788753875
FDC53,OUT017,1655.894440821703
FDY45,OUT013,4392.209390483455
FDA22,OUT010,2303.9543910847606
FDE02,OUT035,1161.5969511641633
FDW21,OUT045,1817.822314263587
FDV34,OUT046,1405.4584453870011
FDS59,OUT049,1762.1542692803996
NCW17,OUT017,2037.6217578723918
NCK54,OUT046,1996.2030584668464
FDG17,OUT019,3991.242905579591
FDG35,OUT017,2813.1607808312983
FDD08,OUT010,630.6107995142956
NCO07,OUT017,3433.453122071318
FDJ10,OUT010,1565.8366134014905
FDW36,OUT017,1533.6182298324893
FDW21,OUT010,1902.9132675102082
FDY19,OUT017,1773.4167257386944
DRE03,OUT013,1018.8978997391605
NCC55,OUT049,587.0487055234225
FDH52,OUT010,961.7750470518367
FDO09,OUT017,3717.421971045449
FDU43,OUT045,3665.6040524761593
FDX09,OUT010,2542.5119766685057
FDH40,OUT019,1132.5369874164717
FDW58,OUT017,1709.6290508609673
FDC47,OUT017,3153.363915110185
NCR41,OUT035,1563.228305399578
DRG49,OUT035,3745.3242159872207
FDC52,OUT027,2801.7298136843237
FDY13,OUT046,1327.6058920242176
FDY35,OUT013,1020.2266007735743
FDI35,OUT017,2802.1595726148626
NCU18,OUT049,2210.5744359525233
FDY33,OUT018,2154.6578001895614
FDC15,OUT027,2118.2379425150903
FDU01,OUT049,3137.980943527298
NCU42,OUT046,2877.203951623629
NCV29,OUT018,2807.731765543358
NCY30,OUT017,2853.7519290950586
FDQ46,OUT049,1578.9401537937956
FDG58,OUT027,2471.381844850235
FDK33,OUT017,3408.8921247794497
NCD07,OUT045,1802.8302458378967
NCX29,OUT027,2314.060975457356
NCT42,OUT013,2676.8194870311454
DRN59,OUT035,613.0127954281961
FDI44,OUT035,960.4945475425811
FDA45,OUT049,2297.701569672532
FDP31,OUT045,471.72479485314034
FDY01,OUT046,1328.3037270176937
FDT09,OUT018,2136.181448264637
DRH03,OUT027,1941.6012566105383
FDA36,OUT018,3060.423256786664
NCF31,OUT017,2339.134648859672
FDG14,OUT049,2423.9084699235646
FDG28,OUT027,4073.1730924462863
FDU14,OUT049,3989.295466049334
FDY47,OUT019,2076.3834625980817
FDI56,OUT049,1287.7901827060523
DRD01,OUT013,1041.447919360864
FDM22,OUT046,1145.4838364537827
FDH33,OUT013,540.7357453155964
DRZ24,OUT013,1942.5565580881303
NCQ38,OUT046,1857.9934083596272
FDO16,OUT027,1704.9454239297374
FDU07,OUT027,2521.671315129919
NCB07,OUT013,3082.7893420489017
FDU48,OUT045,2004.2600327435648
NCM43,OUT045,2707.70700544156
FDR31,OUT010,2200.860736682229
DRK49,OUT018,601.5992621936784
NCI30,OUT010,3614.353935068022
DRD60,OUT017,2801.4876485180102
NCG19,OUT046,3258.0284085675084
FDH12,OUT035,1473.2900675189667
FDM32,OUT035,1493.6550435747085
FDM27,OUT035,1921.821530471363
NCU53,OUT027,3050.162511186627
NCQ18,OUT046,1215.032239071199
FDS10,OUT013,3034.2934012057303
FDB33,OUT027,2853.829214099249
FDI12,OUT013,1338.9639227041625
NCW42,OUT013,3595.51377866085
NCC06,OUT018,1981.4251042285105
FDW02,OUT017,1998.5532856589998
NCD43,OUT017,1737.0864883441318
FDM57,OUT018,1088.4637532373854
FDA58,OUT017,3405.047997195641
FDK56,OUT046,2616.5718175842267
FDP52,OUT045,3804.1012589531892
FDW20,OUT018,1911.4469414635241
FDS52,OUT049,1833.949673536772
NCT29,OUT018,1712.013951659388
NCL54,OUT013,2817.419853653384
FDC05,OUT045,2873.3603223595383
FDF34,OUT035,3230.14363623218
FDP03,OUT027,2128.336949922643
FDD32,OUT010,1242.8274930956031
FDZ10,OUT045,2189.2623919286198
FDZ40,OUT035,885.0605241292033
FDD51,OUT018,278.02814218024287
NCY30,OUT019,3059.9011493214566
FDP58,OUT017,2956.16981898373
FDV49,OUT017,4185.289949294776
FDY24,OUT019,219.9114337052124
NCO55,OUT017,1417.5139919298235
FDR13,OUT017,1866.0946745853944
FDS51,OUT017,977.0896388114561
FDP26,OUT045,1257.6514904693395
NCB54,OUT027,2253.422079974571
FDF32,OUT017,2906.672100767064
FDN31,OUT018,2761.0556255408774
DRM48,OUT017,193.30215248969762
FDN20,OUT049,2751.798825956015
DRL01,OUT046,3899.2351329057965
FDV56,OUT049,1862.5967370878425
DRH13,OUT027,2035.5737358736587
FDA03,OUT017,2192.4733206459277
FDF47,OUT027,3517.0710686175044
FDX32,OUT046,2117.383717840683
FDX57,OUT049,1535.112920125579
NCA30,OUT045,2580.42774459859
FDO49,OUT013,1065.6564997739079
FDL04,OUT019,1214.7983595845835
DRM48,OUT035,256.19241643296846
FDR16,OUT013,3313.409151691114
NCC19,OUT018,2735.36751474877
NCE42,OUT045,3809.1720904411777
FDY24,OUT017,453.281392967765
FDH19,OUT049,2820.8148795042216
FDJ46,OUT013,2947.9181746320537
FDN45,OUT010,2856.0051450547435
FDY08,OUT035,1630.081630660381
FDZ37,OUT035,1489.8979455395565
NCT30,OUT045,623.3612257550521
DRY23,OUT018,308.4718576103187
NCZ30,OUT018,1948.5199444686368
FDC44,OUT018,1099.477575540237
FDB45,OUT035,1690.5875791497274
FDY04,OUT013,2761.3976275473615
FDM27,OUT046,2779.9248331163035
FDZ43,OUT017,3676.754329530315
FDT39,OUT019,2736.7908080050147
NCC06,OUT019,2225.9827024141414
FDL15,OUT027,2648.9415742931124
FDL57,OUT017,3861.6984017141876
FDU08,OUT046,1727.7540735095608
FDK40,OUT017,4216.914472996432
FDQ12,OUT010,3592.352686200262
FDS48,OUT017,2379.2868532228968
FDP09,OUT045,3345.576427749278
FDW21,OUT049,1830.8743562517084
FDY25,OUT035,2878.713790052101
DRE13,OUT017,1405.3505687849974
FDV43,OUT019,517.66952268569
FDD22,OUT045,1535.8641735286365
FDM46,OUT019,638.9447510548853
NCO30,OUT010,3012.770764792036
FDM25,OUT046,2746.7904692357697
NCN41,OUT049,1925.940035795753
FDU24,OUT045,1082.3225928545216
FDZ50,OUT046,2807.2097892453385
FDP45,OUT013,4205.080838978654
NCM54,OUT045,1937.869447670273
FDW10,OUT019,2638.332163104231
FDP20,OUT017,1907.1523125260464
FDK32,OUT046,2413.131805045694
FDN52,OUT049,1060.3643191854717
FDM58,OUT045,1938.1256207768674
FDZ46,OUT027,1879.805309907646
NCA18,OUT018,1720.9548572929561
FDD35,OUT046,2085.095561468428
NCK31,OUT035,860.4563642127723
FDI40,OUT027,1464.2974358736137
FDT50,OUT019,1128.6637217772695
NCT06,OUT046,2668.8849549804872
FDT31,OUT035,3037.6326716879557
FDT45,OUT049,819.4981659020632
FDT13,OUT045,3053.4321691211735
FDO50,OUT045,1272.9138275616351
NCU18,OUT010,2044.7294023558097
NCR54,OUT049,2883.8658469506154
NCO18,OUT018,2801.0857853708294
FDU09,OUT045,832.9873376729629
FDT13,OUT018,2963.4803447309387
FDE09,OUT046,1973.6052746235364
NCK53,OUT019,1741.55617749448
FDG45,OUT049,3626.64741467818
DRH15,OUT035,427.96870597243833
FDO21,OUT019,3882.603518610096
FDD14,OUT027,2572.0681468983203
FDC09,OUT046,1765.281210757017
FDH45,OUT027,659.9250809776677
FDV32,OUT046,938.2652225295897
FDG12,OUT035,2066.766520228375
FDS32,OUT013,2459.3631545201097
NCL55,OUT018,3763.944874066714
DRE01,OUT035,3261.470911561006
DRE15,OUT049,1386.8109982688766
NCL42,OUT045,3866.825634274992
FDP31,OUT013,653.0388427305552
FDN33,OUT018,1068.9577243057574
FDZ59,OUT046,2434.326640067062
FDE45,OUT010,2764.4965037773327
FDJ07,OUT013,2248.8543447135526
FDQ45,OUT018,2981.385453025363
FDM33,OUT027,3488.4011133640233
FDO15,OUT010,1376.401916517294
FDM46,OUT013,1184.325317498602
FDR03,OUT045,3383.372616914603
FDY49,OUT018,2650.1627514858155
FDQ60,OUT045,1623.8383716577337
FDW10,OUT049,2970.7525638264415
FDO51,OUT049,808.8876807264496
FDJ40,OUT018,1599.75096370732
FDS20,OUT018,2754.7569515877367
FDU45,OUT013,2012.0913134426628
FDV02,OUT035,2548.3167635131795
FDN09,OUT046,3913.918713526389
NCM55,OUT027,3075.6799245435905
FDN23,OUT018,2082.303877865328
FDY31,OUT010,2257.5544214199363
FDW03,OUT010,1800.829758757307
FDD14,OUT046,2345.048050063997
FDV23,OUT017,1649.5521534162108
DRI03,OUT045,2907.188589103367
FDN13,OUT035,1028.2734050493382
FDF45,OUT027,1339.5095543069474
FDU46,OUT035,1529.4109886368715
FDB57,OUT049,3613.096998033954
FDV12,OUT049,1801.8316236022001
FDQ58,OUT013,2755.6176817351843
NCA18,OUT017,1729.2452566236498
FDH52,OUT049,1245.3008396902987
FDM24,OUT018,2153.240445843574
NCP43,OUT027,3152.7762445900553
NCO18,OUT019,3021.3626790487433
FDM32,OUT017,1444.1445059950565
NCL07,OUT017,602.05695702706
FDK03,OUT013,4054.373014599645
FDP59,OUT017,1451.7125242573093
FDQ24,OUT049,4166.699606627593
FDQ16,OUT018,1612.795054783157
FDU44,OUT013,2681.0874952330196
FDH28,OUT010,32.848570881913474
FDV28,OUT019,-250.3525897129075
FDM22,OUT045,870.6570327647751
FDR56,OUT046,2885.6679610509273
FDV39,OUT049,3318.2233306197268
FDU37,OUT019,888.3842310557375
FDQ11,OUT010,4329.143623565487
FDX02,OUT045,3440.795110586165
NCS42,OUT018,1285.6635396258498
FDY57,OUT027,1392.3778463946
FDB21,OUT049,3402.4827943298515
FDE28,OUT017,3163.3981101792488
FDQ55,OUT017,1863.3647183913527
FDA48,OUT049,3227.5333073754955
FDZ19,OUT045,2562.6846038847034
NCC43,OUT045,3779.0564062114863
NCV18,OUT046,1132.679544851755
NCA42,OUT018,2519.0001497486555
FDY45,OUT046,4153.684449913497
NCC30,OUT045,2872.9744794716316
FDM57,OUT013,1429.4385136475248
FDL09,OUT010,1875.9407572289747
FDB09,OUT027,2151.110046761227
FDT44,OUT035,1567.005443257276
NCT06,OUT027,2851.9531729142545
FDX26,OUT049,2704.554119677967
FDK32,OUT013,2581.7379671071503
DRA12,OUT046,2349.0193798232976
FDO46,OUT010,3127.070995826667
FDE52,OUT013,1664.5820092648864
NCH42,OUT045,3690.7965102874987
FDV08,OUT035,757.9778641339144
FDB47,OUT018,3119.1933843435327
FDC28,OUT010,1619.0584868897313
FDD22,OUT046,1636.6107736993144
FDS07,OUT027,1810.766793148683
DRI13,OUT045,3508.498058385576
FDG32,OUT018,2771.7982532796304
FDU14,OUT017,3880.4655012050644
FDD28,OUT019,955.8756164236547
NCP41,OUT017,1773.7159132247507
FDS08,OUT049,2784.1341806216915
FDX47,OUT045,2566.251857013951
FDC53,OUT019,1959.3442621038557
FDQ19,OUT035,3932.4453153709655
FDL14,OUT045,2527.2285090131227
FDM33,OUT019,3219.0870223607235
FDA51,OUT045,1275.0687848950183
FDZ27,OUT018,840.459057238164
FDT04,OUT046,429.2799085110564
DRC13,OUT049,2095.802287639024
FDR16,OUT027,3340.720498112787
FDQ03,OUT027,3798.428060616923
FDE38,OUT035,2654.179443651283
DRH23,OUT027,583.4914921196796
FDT11,OUT019,3160.1847465987485
FDD09,OUT035,2904.755543807434
FDR40,OUT045,1528.4194772396258
FDX07,OUT017,2882.9761744076095
FDR07,OUT035,1312.9376122264948
FDA51,OUT017,1219.3883364716785
FDT59,OUT019,3931.050473889507
FDF20,OUT017,3053.5444107021212
FDR13,OUT045,1907.0428044887085
FDY26,OUT049,3368.102127917191
FDW04,OUT017,1944.5297126146215
FDK52,OUT017,3309.8248687744926
FDN60,OUT049,2277.4324249526035
FDM09,OUT019,2447.6005597280346
FDP46,OUT049,1287.1824140087047
FDB50,OUT019,478.2718964533997
NCQ29,OUT049,3842.1308915464615
FDP16,OUT027,4116.130203673867
FDX33,OUT018,2134.0293963665063
FDP07,OUT010,3302.8311774617287
FDN22,OUT046,3556.71714594022
FDF39,OUT049,4343.710035213953
FDS21,OUT017,970.8273198450661
NCM42,OUT013,2017.1025956111662
FDK50,OUT019,2789.16602375641
DRF13,OUT027,2621.520896503538
FDH35,OUT018,2386.001955186017
FDP60,OUT018,1404.2023447933861
DRJ49,OUT027,2430.669940953285
NCT42,OUT019,2580.117346629235
FDE38,OUT049,2720.855838920783
FDI04,OUT049,3034.750501590672
NCH54,OUT045,2358.899861884849
FDT56,OUT049,645.0407286078371
DRD15,OUT018,3514.418684219825
FDV58,OUT013,3413.986189060277
FDP21,OUT049,3104.4019386052387
FDH05,OUT013,3648.074584132297
FDR10,OUT027,2938.8080242032192
NCP06,OUT045,2337.135895002506
FDF33,OUT049,1860.949784128774
DRK37,OUT013,3419.639536372335
DRH49,OUT045,1503.1520267341184
FDT58,OUT013,2681.1775281084083
FDD41,OUT018,1398.0196694564947
FDP40,OUT018,1745.6901341337216
FDM51,OUT027,1931.7037861319259
FDO45,OUT010,1341.0120984514142
FDW33,OUT010,1213.1056597625684
FDY24,OUT045,1118.0386855299948
FDB10,OUT010,3498.4497361344
FDM40,OUT035,1703.0031148919443
NCI06,OUT017,2774.417254822616
FDW12,OUT019,2420.4057475876652
FDX48,OUT027,2708.6714698542455
NCW05,OUT027,1465.3503801763582
FDX27,OUT017,1078.4858724647893
DRM37,OUT045,2871.223156069289
FDA38,OUT045,3926.549689275351
FDR36,OUT046,404.7953320256747
FDZ45,OUT046,3090.062904238115
FDG05,OUT017,2243.250697636602
FDK28,OUT013,4215.183489906165
FDV47,OUT045,1295.272998233926
FDN21,OUT045,2351.5628324136123
FDP20,OUT027,2241.466974153889
FDI35,OUT045,2871.4298699229257
DRY23,OUT013,634.566443773896
FDA56,OUT017,2056.1940922894064
FDB09,OUT013,2077.133230035146
NCO26,OUT027,1946.8598499635227
FDQ49,OUT018,2354.932118395216
FDI52,OUT027,1900.3317609545957
FDZ44,OUT027,2120.9385616472755
FDZ09,OUT018,2193.362269097368
FDY03,OUT049,1661.558796195899
NCG42,OUT017,1962.8450606594342
DRI13,OUT027,3774.835590708186
FDQ32,OUT013,2154.7927559717973
FDW16,OUT035,1406.25323132029
FDU27,OUT046,219.2496098562151
FDR28,OUT010,2622.3603682020293
FDQ49,OUT010,2411.651308138509
FDS37,OUT046,1994.5088669378201
FDW26,OUT018,3093.019542795413
FDX12,OUT018,3747.22952883795
NCP06,OUT013,2563.72348210961
FDW45,OUT010,2224.315167290675
NCN30,OUT049,1647.0667019287248
FDN24,OUT049,575.5124790150476
NCL41,OUT027,785.0167392478252
FDR02,OUT019,1995.683141562382
FDD09,OUT010,2940.1208602109255
FDS33,OUT010,1668.9990905843588
FDU22,OUT045,1673.9087453779684
FDI53,OUT013,2370.180143643669
DRH01,OUT049,2541.8524852004193
FDX32,OUT013,2200.2737561807808
NCP30,OUT018,558.6203295519481
FDB60,OUT045,3177.576227648704
FDB14,OUT049,1217.638042835686
NCP02,OUT035,935.9772194192592
FDJ10,OUT017,1804.9933158031927
FDG34,OUT046,2029.318334588752
NCB18,OUT017,1302.9798232110988
FDM16,OUT049,1301.9703996092721
FDW25,OUT018,1318.5313608044526
FDB35,OUT010,1220.0080410034134
DRN11,OUT013,1960.3033395994316
FDF41,OUT019,3296.85700689859
FDH16,OUT045,1378.7543631413246
NCQ50,OUT018,3259.844622329212
DRH23,OUT018,237.6566138003036
DRJ37,OUT013,2540.0390721743715
DRJ24,OUT027,2835.734229501868
FDY16,OUT035,2614.400950436335
FDQ27,OUT045,1712.891796310283
FDZ33,OUT045,2075.176853823952
FDF29,OUT045,2174.3730128102725
FDA08,OUT049,2594.4496993005814
FDG31,OUT046,1317.3295676378657
FDE34,OUT019,3324.743544414345
NCR30,OUT027,1292.613244792421
FDV33,OUT035,4125.842771510073
DRZ24,OUT018,2039.3753514431155
NCL54,OUT035,2535.5481208627425
FDR12,OUT049,2826.2408359010005
NCC54,OUT046,3602.586812932528
DRN59,OUT013,1136.9759801785985
FDX50,OUT019,1591.4696549113469
FDV31,OUT027,2766.297295440614
NCA29,OUT027,3036.844095239401
FDW60,OUT049,2995.130091139901
FDX08,OUT017,2904.43804425099
DRD49,OUT013,3382.4704061835255
FDD33,OUT046,3416.898983748175
FDW35,OUT013,1054.9474722342202
FDJ36,OUT017,1171.4400224556957
FDV51,OUT035,2630.3074418594806
FDW36,OUT046,1709.7475267300397
FDH35,OUT046,2572.0387213240574
NCS30,OUT027,2086.577079743478
FDN49,OUT017,159.05545102188262
FDL08,OUT018,3758.69259136626
FDI09,OUT013,3550.9500672574977
FDP19,OUT018,1370.632076251375
FDU21,OUT010,221.60945279050065
NCP41,OUT045,1812.8962770279395
FDY10,OUT013,1941.7071884721554
FDP12,OUT018,508.86627386044347
NCN26,OUT049,1962.1726650399942
FDK44,OUT013,2582.2298928592063
FDC28,OUT049,1751.063996865847
FDJ41,OUT027,4469.44446617701
NCT29,OUT035,1839.6367342501762
NCH42,OUT019,3738.175095329836
FDU60,OUT018,2426.8559118708326
FDS02,OUT045,2596.6006020479035
FDC51,OUT046,2185.1736964203337
FDU03,OUT013,2836.3443504003008
FDX39,OUT045,3300.120424499477
NCY05,OUT010,433.4330859163965
NCL06,OUT027,4195.9893731701995
FDD32,OUT035,1421.1576035807811
NCN41,OUT045,1883.1114175202492
NCX53,OUT049,2368.489846166034
FDU57,OUT019,2090.702506060192
FDQ23,OUT046,1845.2727765700984
FDQ52,OUT045,3550.229158966824
FDC14,OUT045,656.7123371230664
FDY09,OUT035,2830.6762908517157
FDQ28,OUT045,2389.351708150156
FDV25,OUT046,3580.903049892786
FDJ07,OUT035,1981.2395322000266
DRB25,OUT049,1612.636854087883
FDK52,OUT019,3352.583302197316
FDY52,OUT027,1413.953269019632
FDB28,OUT046,2997.969161164274
FDT36,OUT035,261.57259352010806
FDV25,OUT017,3459.731831305351
NCN07,OUT027,2344.762140197112
FDC57,OUT017,2886.2282107758256
FDQ03,OUT018,3460.5532062885504
FDU23,OUT017,2673.3012658583757
NCX41,OUT035,3404.4526492792174
NCD06,OUT035,477.55929235689473
FDW08,OUT045,1223.8472982082058
NCU29,OUT017,2337.6493055639876
NCE06,OUT013,2573.034699721371
FDV52,OUT010,1156.2522398213368
FDB02,OUT017,2802.215316998063
NCR18,OUT045,786.4451826562108
FDK16,OUT049,1764.2032290492207
NCQ29,OUT010,3536.6105461267252
FDZ01,OUT019,2005.3783556399176
FDW27,OUT035,2008.4187240763895
FDD17,OUT018,3728.648158601354
FDW39,OUT013,3059.682910024374
DRH59,OUT045,1107.5116129640737
FDS52,OUT013,2018.932958235193
FDU40,OUT027,3341.6108874301026
NCF54,OUT013,2900.2423095286285
FDH46,OUT045,1679.36617435293
NCP14,OUT049,1411.9778288516209
FDH50,OUT049,3148.4971541761333
DRF15,OUT010,2395.809217583952
FDV27,OUT027,1646.2003220307524
NCJ06,OUT049,1945.6872693911027
FDN02,OUT018,2982.6719208214963
FDQ51,OUT049,887.9175905062693
FDQ07,OUT017,3225.677010208816
FDS45,OUT049,1820.6616748838424
NCJ06,OUT045,1920.0779430240473
FDD36,OUT035,1930.922257393915
FDY25,OUT045,2929.2381738117656
FDU52,OUT046,2457.0207209974287
DRK47,OUT017,3441.151668712864
NCL30,OUT017,1910.6365854576907
FDN22,OUT035,3471.742023783492
NCF30,OUT027,1862.83620155861
